y,ds
52.349998,2016-06-06
52.419998,2016-06-03
52.740002,2016-06-02
52.950001,2016-06-01
53,2016-05-31
52.32,2016-05-27
51.98,2016-05-26
52.490002,2016-05-25
51.709999,2016-05-24
50.68,2016-05-23
51.220001,2016-05-20
50.619999,2016-05-19
51.139999,2016-05-18
51.73,2016-05-17
51.959999,2016-05-16
51.900002,2016-05-13
51.810001,2016-05-12
51.779999,2016-05-11
51.099998,2016-05-10
50.59,2016-05-09
50.389999,2016-05-06
50.299999,2016-05-05
50.060001,2016-05-04
50.41,2016-05-03
50.75,2016-05-02
50.25,2016-04-29
50.77,2016-04-28
51.5,2016-04-27
52.349998,2016-04-26
52.130001,2016-04-25
52.43,2016-04-22
56.23,2016-04-21
56.5,2016-04-20
56.77,2016-04-19
56.59,2016-04-18
55.919998,2016-04-15
55.580002,2016-04-14
55.439999,2016-04-13
54.779999,2016-04-12
55.150002,2016-04-11
55.279999,2016-04-08
54.91,2016-04-07
55.200001,2016-04-06
55.299999,2016-04-05
55.66,2016-04-04
55.610001,2016-04-01
55.59,2016-03-31
55.639999,2016-03-30
54.860001,2016-03-29
54.290001,2016-03-28
54.330002,2016-03-24
54.240002,2016-03-23
54.25,2016-03-22
53.93,2016-03-21
54.970001,2016-03-18
55,2016-03-17
54.599998,2016-03-16
53.59,2016-03-15
53.59,2016-03-14
53.07,2016-03-11
52.939999,2016-03-10
52.849998,2016-03-09
52.130001,2016-03-08
51.799999,2016-03-07
52.450001,2016-03-04
52.970001,2016-03-03
52.959999,2016-03-02
52.59,2016-03-01
51.650002,2016-02-29
52.68,2016-02-26
52.099998,2016-02-25
51.5,2016-02-24
52.369999,2016-02-23
53,2016-02-22
52.279999,2016-02-19
52.950001,2016-02-18
52.77,2016-02-17
51.09,2016-02-16
50.68,2016-02-12
50.110001,2016-02-11
50.389999,2016-02-10
50.240002,2016-02-09
49.57,2016-02-08
52,2016-02-05
52.810001,2016-02-04
53.389999,2016-02-03
54.259998,2016-02-02
55.09,2016-02-01
55.09,2016-01-29
52.209999,2016-01-28
52.200001,2016-01-27
52.439999,2016-01-26
52.650002,2016-01-25
52.330002,2016-01-22
51.580002,2016-01-21
51.380001,2016-01-20
51.68,2016-01-19
51.970001,2016-01-15
53.419998,2016-01-14
54.07,2016-01-13
53.099998,2016-01-12
52.849998,2016-01-11
53.279999,2016-01-08
53.490002,2016-01-07
54.400002,2016-01-06
55.389999,2016-01-05
54.799999,2016-01-04
